__v,_id,attributes,description,external_url,image,name,owner,token_id
0,61f6382035cfdb04593b5284,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #21 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/a_uioL5o0U1s3TLV7h2DgEhqvGOZyOA0sXzZqWPKJkzudg4SitkjK9p9O1GOrao9KqLgx0WA2X8jFOUEsgGLrhLvlED7VmRAcnYnQQ,Apt #21 - Floor #92 - Tower #1,0x6d2113692857536b8993924d6b66d8409247fbb8,237226317
0,61f6382035cfdb04593b5298,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":89,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #1 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/tDXU1zsNmAa3Wcnmi5JH6OuiccQwTHjn7p4G3TglrR1i4lmw4HlVTj97ufxfR1Q2AGp-XbyWB3jAyk1wNBwvAZKVk6vAVW5VVlD-F4Y,Apt #1 - Floor #92 - Tower #1,0xe805f2db399aff931b1686094c5e539a05992dfd,237019041
0,61f6382035cfdb04593b529b,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""94"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #21 - Floor #94 - Tower #1,null,https://lh3.googleusercontent.com/0bLLtA-gycQGtABiUqU08faPu4lrjmc95eUws2Iy-Qn8--edYS9d8ET_xqww46xWP50-WVtsQFFM8YtTEM2fUiekDc6OOrao2N428A,Apt #21 - Floor #94 - Tower #1,0x642b15a995980eccb49e6475f44975ff1f50dab8,231429704
0,61f6382035cfdb04593b52b1,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #21 - Floor #97 - Tower #1,null,https://lh3.googleusercontent.com/L93wsOppb5QKTTUocXYuC7Pxh9SRpJNFrL4CegGckCDO5cvqI0rgmEFn30K85_vDklOAFfSl_2NcUhFDs6RvI_RP5DB7gdJaO5Z0QzM,Apt #21 - Floor #97 - Tower #1,0xbe04e156ca437c714f256494c974ef7d93d10833,228779318
0,61f6382035cfdb04593b52af,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":89,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Floor"",""value"":""94"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #1 - Floor #94 - Tower #1,null,https://lh3.googleusercontent.com/d87836ZGn7_QDB7CfZ0cDijYxRs-tQFu6xXXl2saCfHrfyC8yRsnGDTEN4XmH5IsYWjGTUFm6sdZPqpnKVT2UT2SzxotHBsEkSdTyQ,Apt #1 - Floor #94 - Tower #1,0x4a3ef4460403880c6ce6df7c6c92eeab569516e2,231139319
0,61f6382035cfdb04593b52b4,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":89,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #1 - Floor #97 - Tower #1,null,https://lh3.googleusercontent.com/ULu5qvNwkN4-qUwNFT1qEWzx9ELmhaUrIC2_LxuooOE2C1aqm5JuMp_Peq8PX0gKv-FLpH5V8JjT6j71IwNLxSsVrBjFKlKG-d6dyg,Apt #1 - Floor #97 - Tower #1,0x0d84826e43c413dc589edd06ad2a14921b511048,228771120
0,61f6382035cfdb04593b52b7,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""82"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #21 - Floor #82 - Tower #1,null,https://lh3.googleusercontent.com/LX_yYvGXYGPQAUV-7WEUdifXuvcB4U2eaaxoT3IrbazBv6NQQVmeGzTMBIjbA9D4L7JZKW4cd0aaJlwrQYomaHwc2Ibz3tw7mmcW,Apt #21 - Floor #82 - Tower #1,0xd65c597cda089d15554b4727de09cb237892ab26,226234558
0,61f6382035cfdb04593b52cd,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""93"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #21 - Floor #93 - Tower #1,null,https://lh3.googleusercontent.com/ZTr5eXt2n0m1jXyNGxBNoJuCTEt8NvQ_rIHsq1L7qMLoDVZvgTf4AoUXfJVsBjKgxQ25DmjEczfruZiu9bBUGm9XO8bM_PSNZKkG,Apt #21 - Floor #93 - Tower #1,0x0e2c8b5e179deae55fd6e0781e53e7f96e76dbfe,220992644
0,61f6382035cfdb04593b52cb,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":89,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Floor"",""value"":""82"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #1 - Floor #82 - Tower #1,null,https://lh3.googleusercontent.com/22WFy4MJSUE8CIlnPhHGcs6cISZNe8fwCtvMIyOfWRwY3h7YnHLN9HIlKZ0RAWgHMhnPyP76QGR-QWAGLYfeSlmNI5NqzUzV1tWL8L8,Apt #1 - Floor #82 - Tower #1,0x0000000000000000000000000000000000000000,226124714
0,61f6382035cfdb04593b52e1,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":89,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Floor"",""value"":""93"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #1 - Floor #93 - Tower #1,null,https://lh3.googleusercontent.com/i2RQswzN1hGndWTUzgO7rbBH2pi8TJ9InTEB5_f4ZPtt5jLxGkDYkrHxg9xOwz28q_ca7r4jwHy0zYws7TcZjBl4VuKO4rt68c38,Apt #1 - Floor #93 - Tower #1,0x0000000000000000000000000000000000000000,220843438
