__v,_id,attributes,description,external_url,image,name,owner,token_id
0,61f632905e229a19fd7024f9,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""8"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #8 - Floor #97 - Tower #1,null,https://lh3.googleusercontent.com/0GXugqFFHedbgsA8khHf2CCpfh0d0XWNUgMvtLn1czAUZXXYbWtYS-HpfyCnwqZazeGpqzRYuA5oCDZWpp2oAt1KK0s3Nabg6bPYO-w,Apt #8 - Floor #97 - Tower #1,0x60377ec355857c2d06d1ce28555f624257344b0d,244595699
0,61f632905e229a19fd7024fb,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""7"",""display_type"":null,""max_value"":null,""trait_count"":87,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #7 - Floor #97 - Tower #1,null,https://lh3.googleusercontent.com/2lhrisxK-w93oywsvUhoo2u_sooIH4Z9BLJI1i9Qs9rnPO3lYXcCBCUJBeVovEu1w56nwyl_dcDhpIvBrGiJGxys9ytk509xjlefjw,Apt #7 - Floor #97 - Tower #1,0x86508e8c4438456b6568a0613e731400cc8c3950,244322912
0,61f632905e229a19fd7024fd,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""6"",""display_type"":null,""max_value"":null,""trait_count"":85,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #6 - Floor #97 - Tower #1,null,https://lh3.googleusercontent.com/SHwzcOfGjQqpxd_pAnVJdipVbXPLb_NFhPWAMKXy3i63HtLCOBiubrzudUThKQS_A2nGSeNan1ZUqnIE3y_LJ8PWNYxiLPBn2KxuleQ,Apt #6 - Floor #97 - Tower #1,0x2b32cda846d80b246e9b8f63bdb7ec2adf26369a,243765474
0,61f632905e229a19fd7024ff,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""5"",""display_type"":null,""max_value"":null,""trait_count"":87,""order"":null},{""trait_type"":""Floor"",""value"":""97"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #5 - Floor #97 - Tower #1,null,https://lh3.googleusercontent.com/qixEH8TkgaGaKA7vEZjSvGeOtFY4Qbt7KzWdLr75MuJDSqcXJd6ho_qYnK5030FLZGw1FGTMGmtMsnCdMcgE7i4aZMYACdcdWx2v,Apt #5 - Floor #97 - Tower #1,0x0d552310438a5cb891d6bcd482b2cae3ecf27f04,243763165
0,61f632905e229a19fd702501,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""10"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Floor"",""value"":""42"",""display_type"":null,""max_value"":null,""trait_count"":10,""order"":null}]",Apt #10 - Floor #42 - Tower #1,null,https://lh3.googleusercontent.com/O4J7Zs8vMOV4AOSIw1LrlkNXSzAaHEjSMpKGrS1RtBzcN_m3CmZ25wDgn4w17Wu7g_wghT2_6dMnpcrjX4Z9o_WGrrMglAsK3uprMw,Apt #10 - Floor #42 - Tower #1,0x06ae908a3ebb99f70caf27b9f9b52e8056f7df0c,242806170
0,61f632905e229a19fd702503,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Apartment"",""value"":""22"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #22 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/ja3Jyel2Cx_XpPOnKcawUDABB9HurvIKdKowSe0IPupUa5lIwccnTmUHSjaOnwZ_eluI0dkSAHvAZncoQ4B2FKZLgvkBVGgKdUHvcw,Apt #22 - Floor #92 - Tower #1,0x4ce8d4560a488efdd0da89d9373e931499f578dd,237228673
0,61f632905e229a19fd702505,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Apartment"",""value"":""21"",""display_type"":null,""max_value"":null,""trait_count"":84,""order"":null},{""trait_type"":""Type"",""value"":""Luxury"",""display_type"":null,""max_value"":null,""trait_count"":168,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #21 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/a_uioL5o0U1s3TLV7h2DgEhqvGOZyOA0sXzZqWPKJkzudg4SitkjK9p9O1GOrao9KqLgx0WA2X8jFOUEsgGLrhLvlED7VmRAcnYnQQ,Apt #21 - Floor #92 - Tower #1,0x6d2113692857536b8993924d6b66d8409247fbb8,237226317
0,61f632905e229a19fd702507,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""20"",""display_type"":null,""max_value"":null,""trait_count"":83,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #20 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/Jim4kr7uqDGk33QCG-kCxNwkfRzxucr2Vatb8BzxBFoOjK7nli-cQiC5X9Gcls1FvLk49tdDqsaYhR90jfVDI-qdX08b9ZWxoSiu-g,Apt #20 - Floor #92 - Tower #1,0x0de7a8159ddbec47fc08502d618109d66879e012,237223775
0,61f632905e229a19fd702509,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""19"",""display_type"":null,""max_value"":null,""trait_count"":83,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #19 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/pISbg4IBLmHvRpKOkKdA5F_xTOSWFhoAKjA6AYHHXI3KgKXnlMn1MSJojRebqhH-OnZF4q_MJmAeJOo_Eb6LquEmg-KGSUMW1VBFhXI,Apt #19 - Floor #92 - Tower #1,0x2effc23a6f165f63ba9b15cec0c30b03486ad10e,237219451
0,61f632905e229a19fd70250b,"[{""trait_type"":""Tower"",""value"":""1"",""display_type"":null,""max_value"":null,""trait_count"":1864,""order"":null},{""trait_type"":""Type"",""value"":""Standard"",""display_type"":null,""max_value"":null,""trait_count"":1681,""order"":null},{""trait_type"":""Apartment"",""value"":""18"",""display_type"":null,""max_value"":null,""trait_count"":83,""order"":null},{""trait_type"":""Floor"",""value"":""92"",""display_type"":null,""max_value"":null,""trait_count"":22,""order"":null}]",Apt #18 - Floor #92 - Tower #1,null,https://lh3.googleusercontent.com/So8LiL3i940pJ_6IUEXWX3YC9hka03tATYMKgzzkqyEQ5mXzTuyvwtm4dr-RUZJsCUJ_7f98qVn-kP6sVKQz3Bw2hkya5-GyTyyTiHU,Apt #18 - Floor #92 - Tower #1,0x7c4740c6dbae51b944477e31ee44454e6f56f05d,237215804
